texto,sentimento
Este filme é ótimo!,positivo
Amei este livro,positivo
Que filme horrível!,negativo
Não recomendo este produto,negativo
O jogo é mediano,neutro
O atendimento foi bom,positivo
A comida estava deliciosa!,positivo
Péssima experiência,negativo
O produto chegou com defeito,negativo
Recomendo a todos!,positivo
O serviço foi impecável,positivo
Não gostei do sabor,negativo
Muito bom,positivo
Insatisfeito com a compra,negativo
Experiência incrível,positivo
Decepcionante,negativo
Excelente qualidade,positivo
Produto quebrou na primeira semana,negativo
Entrega rápida e eficiente,positivo
Som ruim,negativo
Imagem perfeita,positivo
Muito lento,negativo
Fácil de usar,positivo
Interface confusa,negativo
Design elegante,positivo
Material frágil,negativo
Ótimo custo-benefício,positivo
Preço muito alto,negativo
Vale a pena,positivo
Perda de tempo,negativo
Atendeu às expectativas,positivo
Pior do que eu imaginava,negativo
Superou as expectativas,positivo
Me surpreendeu positivamente,positivo
Não funciona corretamente,negativo
Instruções complicadas,negativo
Simples e prático,positivo
Recomendo fortemente,positivo
Não compraria novamente,negativo
Poderia ser melhor,neutro
Satisfeito com a qualidade,positivo
Razoável,neutro
A câmera é excelente,positivo
A bateria dura muito,positivo
O processador é rápido,positivo
A tela é brilhante,positivo
O design é moderno,positivo
O software é intuitivo,positivo
O preço é acessível,positivo
A qualidade do som é impressionante,positivo
Os gráficos são incríveis,positivo
A jogabilidade é viciante,positivo
O enredo é envolvente,positivo
Os personagens são cativantes,positivo
A trilha sonora é memorável,positivo
O livro é inspirador,positivo
A história é emocionante,positivo
A escrita é fluida,positivo
O autor é talentoso,positivo
A edição é impecável,positivo
O conteúdo é relevante,positivo
A pesquisa é completa,positivo
As informações são precisas,positivo
O curso é informativo,positivo
O professor é experiente,positivo
As aulas são interessantes,positivo
O material é útil,positivo
A plataforma é fácil de usar,positivo
O suporte é eficiente,positivo
A comunidade é ativa,positivo
O produto é durável,positivo
O material é resistente,positivo
A montagem é simples,positivo
A limpeza é fácil,positivo
A manutenção é prática,positivo
O tamanho é ideal,positivo
O peso é adequado,positivo
A cor é bonita,positivo
O acabamento é perfeito,positivo
O produto é inovador,positivo
A tecnologia é avançada,positivo
O desempenho é excepcional,positivo
A funcionalidade é completa,positivo
A compatibilidade é ampla,positivo
A segurança é garantida,positivo
A garantia é confiável,positivo
O atendimento é personalizado,positivo
A empresa é responsável,positivo
A marca é reconhecida,positivo
A loja é confiável,positivo
A entrega é gratuita,positivo
O frete é barato,positivo
A promoção é imperdível,positivo
O desconto é significativo,positivo
A compra é segura,positivo
O pagamento é facilitado,positivo
O site é acessível,positivo
O aplicativo é funcional,positivo
O jogo trava muito,negativo
O filme é chato,negativo
O livro é entediante,negativo
A comida é ruim,negativo
O produto é caro,negativo
O serviço é péssimo,negativo
A entrega é demorada,negativo
A loja é desorganizada,negativo
A empresa é desonesta,negativo
A marca é desconhecida,negativo
